transformation_type,numerical_count,theoretical_count,objects_generated,iteration,ratio,description,integration_params
CMND,40,46.72773837186522,10000000,5,1.1681934592966305,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,46,46.72773837186522,10000000,6,1.0158203993883743,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,57,46.72773837186522,10000000,7,0.8197848837169337,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,58,46.72773837186522,10000000,8,0.8056506615838831,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,45,46.72773837186522,10000000,9,1.0383941860414494,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,48,46.72773837186522,10000000,10,0.9734945494138588,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,54,46.72773837186522,10000000,11,0.8653284883678745,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,47,46.72773837186522,10000000,12,0.9942071994013877,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,47,46.72773837186522,10000000,13,0.9942071994013877,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,46,46.72773837186522,10000000,14,1.0158203993883743,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,46,46.72773837186522,10000000,15,1.0158203993883743,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
