,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx,earthy,earthz,sunx,suny,sunz
277,2016-01-21 16:44:54,-10.8,0.7,42.5,18.1,-3.8,-17.7,-1.2,46000000000.0,0.15,-74935901.12966026,126611861.08827786,-27992.328639894746,561397.3138220244,231198.5652698278,-24186.608867431154
279,2015-12-21 02:32:48,5.9,143.0,42.2,12.1,6.4,-10.0,2.5,83000000000.0,0.26,3976957.218127215,147332434.16462064,-29156.25594002596,557581.5004660394,198544.4508072579,-24062.146148191176
285,2015-10-13 12:23:08,-8.0,-52.5,38.9,12.9,-6.6,3.8,10.4,23000000000.0,0.082,141139296.55479193,50284163.181478396,-26306.795196323626,544086.8973760456,129582.49304642648,-23652.37615166032
287,2015-10-10 09:57:51,-51.0,-21.1,51.8,11.8,-1.3,-5.1,10.6,36000000000.0,0.12,143747933.09630808,42722621.70187423,-25741.556806992685,543329.7182338575,126542.90209124156,-23629.631404411477
291,2015-09-08 13:46:42,6.3,29.9,44.4,16.1,-11.5,-11.3,-0.9,20000000000.0,0.073,146383526.67691043,-37939630.42224058,-22320.412758256047,534981.4834824832,95685.00814374516,-23384.590528333378
292,2015-09-07 01:41:19,14.5,98.9,29.3,21.0,16.8,-12.0,-3.8,1798000000000.0,3.9,145420409.88800532,-41659138.02788178,-22147.874345419285,534561.9238077413,94240.97710767448,-23372.615679787137
293,2015-09-02 20:10:30,39.1,40.2,39.8,24.1,10.3,-12.2,-18.0,37000000000.0,0.13,142206648.16812807,-51964548.93828239,-21930.728318427864,533369.4034432722,90184.56670266563,-23338.74365030717
295,2015-07-19 07:06:26,20.6,-87.6,22.0,17.8,9.4,13.0,7.8,23000000000.0,0.082,67432695.86730039,-136470987.02727374,-18401.009864504107,519292.57636605785,46926.68101579629,-22951.636435076638
297,2015-07-04 01:40:11,38.6,103.1,46.3,49.0,0.9,-40.4,-27.7,56000000000.0,0.18,31068697.084902197,-148960129.37362,-18274.1621857333,514035.1559884526,32627.754616009428,-22809.70607772316
298,2015-06-14 03:03:06,6.3,124.1,32.4,31.9,-4.7,-17.8,-26.0,71000000000.0,0.22,-19162254.224134803,-150647489.18430856,-17258.493428461225,506695.5736937351,14018.315756315556,-22614.654019077534
304,2015-05-10 07:45:01,-46.3,-179.3,29.6,12.2,11.2,0.9,4.7,143000000000.0,0.42,-98325613.4530211,-114252937.52255651,-18502.943614545875,492490.0955828432,-18056.13089155858,-22242.448305933674
305,2015-05-07 20:34:34,-21.5,-29.3,37.0,17.3,-16.2,-5.8,1.4,52000000000.0,0.17,-102932683.55099288,-109980242.55783327,-18647.23198697824,491412.08728640043,-20301.771475245852,-22214.22707832231
306,2015-04-30 10:21:01,-48.7,139.1,26.7,12.9,12.2,-4.2,0.9,105000000000.0,0.32,-115684935.16326693,-95986576.44429426,-18481.47329320326,488106.882973437,-27038.170044065333,-22127.55641632467
307,2015-04-21 01:42:51,37.7,-39.6,37.4,21.3,-15.3,12.8,7.4,88000000000.0,0.27,-129108091.76454735,-76195985.23780389,-18753.843112209728,483817.85560540954,-35463.61758232881,-22014.647504746066
309,2015-04-08 04:06:31,-25.5,51.5,36.3,19.2,8.0,-15.6,-7.9,173000000000.0,0.49,-142115197.61650857,-45834698.801345676,-20225.992657949228,477694.44697459735,-46942.38507689146,-21853.07854868026
311,2015-03-30 21:33:52,-36.1,-5.5,33.1,13.8,-13.7,-1.7,0.8,64000000000.0,0.2,-146820656.77643827,-25102860.789661594,-20112.605155260964,473646.24236276466,-54219.416916449576,-21746.713767484656
313,2015-03-11 06:18:59,8.0,119.1,35.2,19.9,5.5,-10.5,-16.0,72000000000.0,0.23,-145933423.5876895,25370723.025912553,-22175.26784924311,463674.98147665575,-71221.05262995737,-21487.376712443554
315,2015-03-04 04:30:05,-15.9,88.1,39.8,18.0,7.8,-16.0,-2.5,55000000000.0,0.18,-141423362.58190793,43131292.94435772,-22081.75747817506,459961.85076429683,-77251.21175121565,-21391.80796304756
316,2015-02-26 22:06:24,68.0,-149.0,33.7,21.1,5.6,-2.3,-20.2,188000000000.0,0.53,-136669378.50810304,55942344.51874931,-22350.623443412514,457158.672559025,-81705.64507067895,-21320.018631689123
318,2015-02-17 13:19:50,-8.0,-11.2,39.0,28.8,-28.2,3.4,4.6,33000000000.0,0.11,-125376122.24224956,77498958.54815492,-23728.905966395334,452092.8291889037,-89555.37914619446,-21191.040011772024
320,2015-01-09 10:41:11,2.0,28.8,36.0,17.5,-10.7,-7.6,11.6,139000000000.0,0.41,-46562952.30409383,139282060.73364943,-24819.483173906443,429899.70102810574,-121323.91114885685,-20634.536625648958
321,2015-01-07 01:05:59,45.7,26.9,45.5,35.7,-35.4,1.8,-4.4,136000000000.0,0.4,-40573117.59240567,141149054.63415667,-24736.41412685955,428488.98944146343,-123220.3640917377,-20599.678698227053
322,2015-01-02 13:39:19,-31.1,140.0,38.1,18.1,4.5,-14.4,-10.0,20000000000.0,0.073,-29210944.442545287,143956490.52347773,-24844.96695177356,425842.7453915509,-126743.88980150755,-20534.541174246737
323,2014-12-13 02:53:52,86.7,-162.1,30.7,21.7,15.3,-13.3,-7.8,44000000000.0,0.15,23966995.74153988,145244004.54638472,-24779.68761818205,413515.6033658189,-142601.90866318805,-20234.94178567945
324,2014-12-12 06:48:11,33.5,144.9,26.3,12.0,11.5,-2.8,-2.2,33000000000.0,0.11,26125710.437354404,144890420.4829575,-24709.354940238696,413002.2252154824,-143243.18028012887,-20222.57715120842
326,2014-11-28 11:47:18,-45.8,-172.7,26.1,13.4,0.4,-1.4,13.3,700000000000.0,1.7,60539817.34101623,134634960.15458465,-24918.90112262959,404444.03003438096,-153716.4239761014,-20017.3235711023
328,2014-11-26 23:16:51,-69.5,-179.7,23.3,25.3,21.3,2.2,13.4,118000000000.0,0.35,64157221.57779271,133006630.56574345,-24915.179964119503,403488.21469287825,-154861.06287496613,-19994.475422095566
329,2014-11-26 17:40:16,-68.2,-24.0,37.0,19.9,-7.0,16.1,9.4,105000000000.0,0.32,64709140.981986344,132747940.12895715,-24909.70187388448,403341.1305448674,-155036.76213153018,-19990.96034853642
330,2014-11-04 20:13:30,43.1,115.8,22.2,16.0,-7.2,-12.1,-7.7,156000000000.0,0.45,110413345.36492622,99341716.61919403,-23224.394226747296,389304.1261407431,-171268.681288537,-19655.560693043062
333,2014-10-14 10:25:03,-2.0,119.2,27.2,16.9,15.0,-6.9,-3.5,29000000000.0,0.1,139875554.0295791,52790298.751276016,-20970.201200406023,375074.7875565776,-186668.72089537827,-19312.638282624164
339,2014-08-23 06:29:41,-61.7,132.6,22.2,16.2,-2.3,5.7,16.5,3819000000000.0,7.6,131182842.14498734,-76168738.87307549,-15861.867605759464,338454.5264074471,-222046.8142773287,-18422.787483909568
342,2014-06-28 02:40:07,18.9,141.2,26.3,12.4,12.0,3.5,-10.5,245000000000.0,0.67,16601438.181936486,-151460968.4511747,-12113.105498554949,296367.45120645425,-256331.3616518127,-17389.834826922848
343,2014-06-26 05:54:41,-71.5,93.4,28.5,11.2,7.0,2.9,8.3,61000000000.0,0.2,11896681.964467123,-151884551.16273805,-12120.732887189151,294934.50867560104,-257403.1607253845,-17355.025980237722
345,2014-05-16 20:06:28,-39.4,-95.9,30.8,18.0,2.9,13.4,-12.5,136000000000.0,0.4,-85033045.21399827,-125202153.71811724,-12665.724195337518,263341.5843382239,-279709.8178272908,-16598.523855852
346,2014-05-16 12:42:48,-44.2,-176.2,44.0,16.5,14.4,4.6,6.5,309000000000.0,0.82,-85673802.04221667,-124750553.61876057,-12654.244184113139,263096.39582425175,-279873.37081361475,-16592.72004041779
347,2014-05-08 19:42:37,-36.9,87.3,35.4,19.0,-2.0,-16.1,9.9,1050000000000.0,2.4,-100904337.53747554,-112387807.60915448,-12205.603712105829,256938.6644364597,-283932.76000777533,-16447.13084462521
348,2014-03-29 13:45:41,-28.7,121.5,30.7,16.3,10.0,-12.7,2.2,39000000000.0,0.13,-147471511.66625386,-22620949.114227705,-14806.309385494105,224050.36610632046,-304095.9107588098,-15677.56972458408
354,2014-01-12 16:00:48,2.9,64.4,37.0,16.2,-5.2,-15.1,2.6,78000000000.0,0.24,-55380342.56865983,135909267.87746617,-18045.348488399217,158072.60706232386,-336617.43498746085,-14151.40568757822
355,2014-01-08 17:05:34,-1.3,147.6,18.7,44.8,-3.4,-43.5,-10.3,31000000000.0,0.11,-45667490.66418339,139456417.4196932,-18427.073900304826,154507.4257026963,-338061.5409106354,-14068.661556387568
356,2013-12-23 08:30:57,39.5,2.0,34.3,15.1,-1.1,11.4,-9.9,147000000000.0,0.43,-3650019.614067878,146756996.12603638,-17904.881726280877,139671.18289037445,-343747.04522379185,-13724.99124981263
357,2013-12-08 03:10:09,32.8,-165.1,23.5,11.8,2.3,2.5,-11.3,64000000000.0,0.2,35792952.30360094,142637710.30703518,-18241.733572515266,125756.39801474154,-348619.94080505264,-13403.680104442636
358,2013-11-21 01:50:35,44.7,35.3,59.3,12.4,-5.0,-11.0,-2.7,75000000000.0,0.23,76852659.50242855,125946341.76617417,-16632.647397331682,110079.70274319871,-353604.54100701615,-13042.739644057225
359,2013-10-12 16:06:45,-19.1,-25.0,22.2,12.8,-8.0,8.4,-5.5,1610000000000.0,3.5,140962017.3627255,48988846.11708437,-14289.388198026087,73719.58041981242,-363278.0345567969,-12209.6654544125
364,2013-07-31 03:50:14,-31.8,137.1,29.1,17.8,17.7,-2.3,-0.1,69000000000.0,0.22,93347910.65629795,-120156068.41647302,-6995.97005737666,5651.866924605545,-375626.98662876233,-10678.722272142282
365,2013-07-30 02:36:58,-50.2,90.2,25.6,18.8,15.9,-8.6,5.1,390000000000.0,1.0,91242263.32017237,-121789144.62642527,-7016.419310089595,4672.239475363118,-375752.3768737291,-10656.62211249572
366,2013-07-27 08:30:36,0.3,156.2,26.5,22.1,16.0,14.9,-3.3,120000000000.0,0.36,85590750.36838198,-125887662.08189513,-7058.592834525955,2103.574431920859,-376074.08401725016,-10598.674776065774
372,2013-04-30 08:40:38,35.5,-30.7,21.2,12.1,1.0,9.0,-8.0,5110000000000.0,10.0,-115556820.62212394,-97210894.43943197,-5969.3387503033055,-80794.79760112875,-380529.0942402354,-8719.842038221535
373,2013-04-21 06:23:12,-28.1,-64.6,40.7,14.9,5.0,14.0,1.0,1066000000000.0,2.5,-128780052.09906922,-78104942.87967117,-5594.834930025567,-89393.70775263844,-380280.6474434267,-8525.040580923447
376,2013-02-15 03:20:33,54.8,61.1,23.3,18.6,12.8,-13.3,-2.4,375000000000000.0,440.0,-123268487.95013274,81350354.13618764,-9717.809575942149,-150495.74174424284,-374792.8488671646,-7173.0783045550725
382,2012-11-20 20:37:31,2.5,29.6,33.3,14.3,-12.2,-5.3,5.3,25000000000.0,0.089,76415450.97089814,126000823.31443214,-9857.346022057529,-229890.89509326755,-357931.9052872813,-5473.885905110408
385,2012-10-19 16:26:22,-75.4,49.6,29.3,13.2,-2.3,-3.9,12.4,23000000000.0,0.082,133047625.22122243,66159483.47784225,-7268.205067082577,-258943.18906823714,-348619.1089645474,-4846.436208502533
386,2012-10-09 00:54:55,51.2,-84.6,27.8,13.5,3.4,12.0,5.1,210000000000.0,0.58,143396750.655045,40750343.44792782,-5754.0563301851125,-268431.15027514816,-345153.78027077654,-4641.219161009732
388,2012-10-02 16:38:38,-8.1,-111.9,35.0,15.4,1.4,15.3,1.0,470000000000.0,1.2,147277236.70315212,24901088.850231912,-5665.8622724905,-274049.56635736267,-342999.13352333894,-4519.675290688727
390,2012-09-18 19:34:39,1.2,-52.2,28.1,18.3,-1.9,14.1,-11.5,244000000000.0,0.67,149656344.004392,-10543902.385607187,-4034.09438402725,-286236.06396872544,-338057.0347710796,-4256.056067851027
392,2012-09-10 01:03:32,-69.8,-111.7,23.8,16.9,-10.2,-5.2,12.4,23000000000.0,0.082,146807360.87175873,-32789751.28203957,-3113.850865134183,-293860.03426940506,-334774.6083993135,-4091.1411865852065
393,2012-08-27 06:57:43,-18.3,64.2,38.7,28.9,-8.0,-23.7,-14.5,68000000000.0,0.22,135808320.78926557,-66016642.59612328,-2341.436668289497,-305681.21461477625,-329386.2473070147,-3835.24678728012
394,2012-08-26 14:55:47,11.8,117.0,36.0,12.7,5.0,-11.6,-0.7,249000000000.0,0.68,135080485.7743159,-67554059.20431672,-2227.8670033648405,-306250.91529882175,-329117.1337757095,-3822.907834487412
397,2012-07-25 07:48:20,36.4,41.5,26.8,18.5,0.8,2.0,-18.4,133000000000.0,0.39,81538620.7269264,-128322499.73011096,749.9656316496776,-333243.579802021,-315371.0380627959,-3242.819948463168
401,2012-05-15 11:04:17,-61.8,-135.5,33.3,17.1,-0.8,1.1,17.0,132000000000.0,0.39,-87480232.04453623,-123935721.75632587,1322.6340280303318,-389070.34413539193,-281148.7313352208,-2078.5235349260897
407,2012-03-12 06:40:44,2.5,139.8,25.0,11.8,0.1,-11.8,0.3,99000000000.0,0.3,-147624983.5573487,20642334.48772093,-1259.8310187841414,-436513.319727924,-245435.63685305332,-1101.2946625150646
414,2012-02-04 14:42:51,32.4,0.1,34.2,12.2,-3.9,10.9,4.0,150000000000.0,0.43,-104763695.43946694,104026214.666019,-3234.9488946790807,-462215.970659554,-222541.8673554083,-569.6225820195123
415,2012-01-15 12:26:20,-64.1,109.9,26.3,12.3,-1.9,5.1,11.0,21000000000.0,0.076,-61689751.605092406,133604779.5744358,-3710.462631733778,-475677.2066664877,-209195.38898244785,-296.313858154918
422,2011-09-13 23:36:47,-19.9,-13.8,21.3,16.7,-3.7,1.8,16.2,67000000000.0,0.21,147972627.85080475,-24522302.421498496,991.5804980781204,-546535.5389831854,-117511.70728235645,1065.9612419790496
433,2011-05-25 05:40:02,4.1,14.0,59.0,11.6,-3.4,-10.8,2.4,2280000000000.0,4.8,-68104615.9059104,-135662703.70982945,5455.579960547323,-592729.6426446307,-23685.694698277322,1952.6566063442451
439,2011-04-06 08:30:55,71.1,-43.5,22.2,12.7,3.3,11.8,-3.5,148000000000.0,0.43,-144466271.6842542,-41357084.52987225,3458.1252163070003,-606805.0873092085,19708.77629584426,2191.742219139276
443,2011-03-01 10:37:54,53.5,103.9,30.6,11.9,-6.7,-1.1,-9.8,37000000000.0,0.13,-140193399.4604547,49931503.134703,1117.805002392139,-614895.9108703384,51980.381922698994,2308.6521633822445
444,2011-02-21 05:07:03,26.3,43.7,44.4,18.0,10.3,-14.8,0.1,39000000000.0,0.13,-131303346.65406027,69379613.54595359,1194.9721648480245,-616498.9684684946,59420.76856516176,2329.5617746797393
448,2010-12-25 23:24:00,38.0,158.0,26.0,18.1,18.0,-2.0,-4.0,20000000000000.0,33.0,-10657339.168474276,146901236.14064768,-1145.0246543953804,-625222.0497171244,111735.64821067572,2425.8359557662166
463,2010-09-03 12:04:58,-61.0,146.7,33.3,12.3,9.8,-3.5,6.5,1750000000000.0,3.8,141832968.25505957,-49551281.53273869,2935.253002345475,-627189.3028514372,218943.581916763,2330.194984486513
468,2010-07-06 23:54:43,-34.1,-174.5,26.0,15.7,12.1,10.0,0.2,7560000000000.0,14.0,37847447.30101296,-146880394.05749297,5043.016965257224,-619119.2815187607,273535.7088581409,2078.760233043597
473,2010-04-16 04:38:52,1.8,-176.9,22.2,18.8,12.4,-13.2,-5.2,844000000000.0,2.0,-135585054.74469164,-65348228.74183378,3232.3143495582694,-599663.6939716168,347206.86243426544,1594.2291485271505
479,2010-03-08 22:02:07,32.0,-92.9,52.0,24.5,19.1,11.0,10.7,323000000000.0,0.85,-145898276.45431143,31056029.15334794,1209.4670351841237,-587417.3389529678,380845.7511143318,1312.3767966945272
480,2010-02-28 22:24:50,48.7,21.0,37.0,15.1,-11.7,2.7,-9.1,153000000000.0,0.44,-139926224.08367062,50880269.224691056,851.6825718771374,-584579.6882760242,387787.3087931419,1246.6485919820775
483,2010-01-15 19:17:54,-8.3,27.0,25.0,14.0,-9.1,6.0,8.8,492000000000.0,1.2,-63684857.38161692,133367142.08861321,-2082.7494555010253,-567152.5769416201,425446.9780864881,836.214774222614
487,2009-11-21 20:53:00,-22.0,29.2,38.0,32.1,3.0,-17.0,27.0,10000000000000.0,18.0,74353210.03005017,127857288.29881819,-2906.610666534489,-541633.2515202863,470342.5027241207,243.55497736975244
494,2009-10-08 02:57:00,-4.2,120.6,19.1,19.2,14.0,-16.0,-6.0,20000000000000.0,33.0,143975008.18410847,38776371.343377374,-1900.089631973749,-518048.1055283122,505122.32437118894,-280.5879746824256
497,2009-09-04 02:23:18,42.5,110.0,28.3,24.0,19.2,-11.6,-8.5,965000000000.0,2.3,142629321.51075622,-47163566.874346286,-317.90962582998947,-498455.76220647275,530605.183944062,-691.8799933762833
498,2009-08-23 21:17:19,-67.7,18.3,34.0,12.2,-6.9,5.3,8.5,280000000000.0,0.75,131461263.5857343,-73402643.84418763,817.5496034942529,-491651.98451375106,538801.6876977814,-832.8609785609142
502,2009-06-27 13:08:05,-26.6,-12.6,26.1,15.2,-11.6,1.6,9.7,32000000000.0,0.11,15144980.498571036,-150699156.9709856,1938.4777720106952,-454138.2864883062,578763.1480247994,-1603.2870824067709
510,2009-04-10 18:42:45,-44.7,25.7,32.4,19.1,-18.9,2.6,0.3,270000000000.0,0.73,-140436838.0205593,-52844268.10419119,-828.5284535389538,-396930.06466834585,626080.9946617722,-2783.1594496650205
515,2009-02-07 19:51:32,56.6,69.8,40.0,15.4,-2.4,-1.9,-15.1,1600000000000.0,3.5,-111805951.8232732,97358428.56274873,-5387.577147470112,-348199.1292255695,657954.1756046487,-3759.753132866153
518,2008-12-24 15:51:58,-68.9,-102.0,21.1,24.1,-13.4,18.0,8.8,35000000000.0,0.12,-8253345.958190156,147601383.7136866,-6810.987530380217,-311151.5489085739,678606.8230865641,-4480.5667035666165
521,2008-11-24 22:01:19,-57.9,146.1,34.8,23.7,21.5,10.0,0.4,146000000000.0,0.42,67030052.48051469,132128550.26348382,-7191.025609816522,-285794.2269838483,691012.7496810362,-4973.557868885549
522,2008-11-21 00:26:44,53.1,-109.9,28.2,12.9,3.9,-4.1,-11.6,142000000000.0,0.41,75965157.49928294,127286029.87536354,-7398.52942581707,-282410.68424321583,692556.3980580915,-5039.5778979000615
523,2008-11-18 09:41:51,-29.4,75.9,35.2,22.4,-4.0,-15.2,-16.0,25000000000.0,0.089,81757922.5067286,123706936.30319767,-7632.853403235899,-280134.31868549215,693580.0485343947,-5084.010379140522
525,2008-10-21 02:20:25,32.8,-165.6,29.6,11.3,9.6,5.8,1.5,46000000000.0,0.15,131304554.62378585,70473657.44045307,-7350.688792806082,-255125.77338991457,704047.4029781217,-5571.203196230127
527,2008-10-07 02:45:45,20.9,31.4,38.9,13.3,-9.0,9.0,3.8,395000000000.0,1.0,144769473.88250858,37108137.121005,-6587.90510876514,-242543.10314154986,708788.7865976166,-5814.292332690032
531,2008-08-07 06:07:10,18.5,180.0,45.4,13.8,6.5,-12.1,1.7,41000000000.0,0.14,107080214.81386377,-106558949.68845694,-4700.404206258643,-186445.98155796825,725770.9679660655,-6883.453455709594
532,2008-07-23 14:45:25,38.6,68.0,31.5,14.5,-7.7,-8.2,-9.1,121000000000.0,0.36,78075245.24355914,-129551509.68770628,-5173.725967053223,-172762.0686420373,728987.2678557026,-7135.796794175614
535,2008-07-08 15:55:30,72.8,147.3,52.2,21.7,-12.9,1.9,-17.4,66000000000.0,0.21,43622873.024623066,-144928409.97923627,-4491.920247847813,-158730.46806961563,731961.9079242597,-7389.9676960624665
536,2008-07-01 17:40:19,37.1,-115.7,36.1,9.8,2.8,1.7,-9.2,36000000000.0,0.12,26582159.043267645,-149002004.94113848,-5110.225616663524,-152206.55941282754,733233.9387953863,-7507.209576411676
537,2008-06-27 02:01:23,-26.9,-17.7,33.7,23.1,-17.9,13.0,6.6,172000000000.0,0.49,14921318.436211074,-150599650.5704517,-5132.396488773209,-147817.4108023171,734049.969068364,-7585.863874102798
540,2008-05-24 10:18:10,0.8,162.0,37.0,14.2,7.9,3.1,11.4,150000000000.0,0.43,-67718843.27032414,-134856157.54520306,-5280.569830221643,-115883.05745758292,739037.1464272529,-8154.199040802702
547,2008-03-15 11:29:55,28.0,-41.5,26.7,12.9,-4.1,4.8,-11.2,50000000000.0,0.16,-148313572.90362555,13322791.551117005,-9582.040133857208,-48572.93990400348,744085.8285833837,-9343.872592242558
551,2008-02-17 12:19:16,74.9,-73.4,40.4,13.9,-5.8,-10.7,-6.7,110000000000.0,0.33,-125512724.06282452,78848873.18672828,-11280.612714627412,-22449.373799748704,743934.1409145457,-9810.049306601846
554,2008-01-09 03:53:15,-66.8,-67.3,31.5,11.6,4.3,5.7,9.1,41000000000.0,0.14,-45784699.31890496,140541102.90671203,-12716.418435208958,15439.447967208558,741674.0674988322,-10475.098004255618
558,2007-10-12 09:14:03,88.5,116.6,37.0,18.4,-4.5,-14.1,-10.9,33000000000.0,0.11,141651847.9037401,48262714.90237004,-12697.319585762096,99499.4401667502,729098.1746485289,-11871.311784950785
560,2007-09-22 17:57:12,-49.2,-85.5,30.2,16.9,-9.2,13.6,3.8,237000000000.0,0.65,150257849.53932768,-1248098.1676936045,-12248.618464580619,117991.32519397803,725050.6601911082,-12165.383329866143
561,2007-06-11 09:47:05,-23.4,-170.9,35.2,17.0,16.7,-2.1,-2.2,49000000000.0,0.16,-26123407.693652976,-148902563.05198637,-11556.514278597588,214680.19534963102,694044.3421162749,-13676.215699222912
567,2007-04-18 12:44:23,-83.7,-171.2,38.0,24.4,-5.3,-2.5,23.7,112000000000.0,0.33,-132350772.38962366,-69880467.40844013,-13439.51878416399,262891.33977411117,671075.7384615123,-14380.575679786118
569,2007-03-17 06:48:35,7.1,4.1,32.5,14.5,-7.3,-1.9,-12.4,40000000000.0,0.13,-148226844.06054577,10518743.592164556,-14637.911475503017,290621.40317967074,655546.2308003396,-14763.274048743026
574,2007-01-22 07:24:56,45.4,53.5,32.0,13.4,-3.3,-12.8,-1.9,76000000000.0,0.24,-77224972.40672046,125774990.14598165,-17217.93631427974,335313.23628682893,626994.7010326231,-15356.556461957676
578,2006-12-09 06:31:12,26.2,26.0,26.5,15.9,4.9,-15.0,1.6,7410000000000.0,14.0,33662494.792344436,144133676.0489534,-18380.517599334813,370415.5097901111,601233.2093064077,-15816.538978820978
583,2006-10-14 18:10:49,49.4,-175.0,44.4,23.9,4.9,23.4,-1.0,258000000000.0,0.7,139551844.793545,54435832.22631071,-17703.155853298773,412479.79751490575,565359.0609957108,-16335.10498752511
590,2006-09-02 04:26:15,-14.0,109.1,44.1,14.2,10.0,-9.9,1.5,1230000000000.0,2.8,141825828.76559854,-52346247.17769326,-15600.893088963925,442760.7827922819,535479.1981411783,-16664.705301262937
596,2006-07-15 23:55:45,-78.3,-5.0,29.6,12.4,0.1,2.0,12.2,85000000000.0,0.26,60516046.22103766,-139200285.35139984,-14923.847101910296,474915.33007914125,499611.52141237515,-16957.77725301489
597,2006-07-15 15:22:49,31.1,45.6,38.9,30.2,9.2,-1.2,-28.7,163000000000.0,0.47,59687874.44201499,-139556240.05043957,-14884.003140348843,475145.6818931673,499338.3701215707,-16959.739689692484
598,2006-06-07 00:06:28,69.2,22.5,40.7,19.6,6.1,4.6,-18.0,59000000000.0,0.19,-36096097.19923539,-146869759.84088597,-14732.928746156807,499478.2404950842,468925.3458388728,-17159.367346429015
609,2006-02-04 08:38:05,36.9,-143.6,38.9,19.8,-8.8,3.4,-17.4,100000000000.0,0.3,-104278396.77248691,104084262.03894879,-19032.993548068986,565515.2460719335,361750.14092751144,-17549.420492253827
610,2006-01-28 03:33:48,-51.7,56.4,37.0,18.7,8.4,-16.4,3.2,740000000000.0,1.8,-90111190.18598512,116479471.35657157,-18654.113256445857,568728.3578175866,355053.8139025114,-17555.044433446652
613,2006-01-10 23:25:28,29.8,-12.7,32.4,16.9,-9.9,-6.3,-12.2,28000000000.0,0.098,-50972488.977914624,138133393.59190828,-19740.716602281223,576079.6566811159,339006.1752799055,-17560.788528945046
615,2005-12-29 10:05:35,-3.0,-154.9,42.2,20.7,18.6,8.5,3.2,190000000000.0,0.53,-19164065.552377105,146113068.3628239,-19121.066631359943,581197.0263051143,327195.6489350259,-17558.34015439213
617,2005-12-03 12:45:49,-33.8,117.4,32.2,17.0,-12.1,-9.6,7.2,88000000000.0,0.27,47675595.43027615,140046530.6041482,-18993.77038152607,591113.6744799505,302669.50239507,-17536.347922785688
622,2005-11-09 07:33:08,-31.0,145.9,30.7,13.8,13.5,-2.7,-0.7,73000000000.0,0.23,101791753.25896762,108515593.0177837,-18631.40672211496,599709.2026369685,279531.9014630775,-17497.412781270472
630,2005-08-09 14:35:45,-21.5,56.2,37.0,16.9,-16.3,4.3,1.4,25000000000.0,0.089,111590680.37927452,-103189698.43533792,-16047.120990558957,626646.7734639293,188817.30454503885,-17237.488991999802
634,2005-06-03 08:15:41,-31.0,-90.3,29.6,26.2,-1.5,25.3,6.7,82000000000.0,0.25,-44273654.84341561,-144838523.38498503,-15094.818212025613,639192.7896690592,118907.86186329648,-16860.28019397236
637,2005-05-07 09:31:44,-75.8,163.7,15.2,16.6,9.6,-9.7,9.4,26000000000.0,0.092,-102599465.17998077,-110063084.2930963,-15335.140317587258,642261.0046589454,90483.99595929206,-16654.480260745106
640,2005-04-19 07:37:47,-50.2,-146.4,38.5,16.8,9.3,13.8,2.5,232000000000.0,0.64,-130419945.37856875,-73425270.12844364,-15897.736419947234,643739.4255913763,71329.87452128559,-16505.184030277283
658,2005-01-02 23:09:51,-21.3,154.7,35.2,21.5,20.2,-3.3,6.6,119000000000.0,0.35,-31461607.19071661,143512768.351475,-17277.31668704145,643031.5796867306,-42667.74336203915,-15468.767989986456
667,2004-10-07 13:14:43,-27.3,71.5,35.0,19.2,-15.3,1.0,11.6,10400000000000.0,18.0,145322184.4808901,37410501.99573069,-15300.24835711953,629284.855912944,-136725.27106735887,-14327.816791105852
680,2004-06-05 20:34:10,1.3,-174.4,43.0,19.5,9.4,17.0,-1.5,1810000000000.0,3.9,-37576228.07589023,-147197397.2204697,-10367.087200242233,592190.5682545425,-266527.57100754784,-12303.17359679593
689,2004-04-22 04:21:49,-44.3,83.3,29.6,16.3,8.5,-12.1,-6.8,624000000000.0,1.5,-126511806.12294817,-80741665.37518117,-10762.605207905535,573560.2252663332,-313029.5271882973,-11474.640712882769
690,2004-04-06 03:24:49,-12.0,162.8,35.0,25.6,10.5,-23.2,-2.9,433000000000.0,1.1,-142895560.20781425,-43144238.77525838,-10770.991819482244,566027.8125470466,-329593.7663767109,-11158.70453218208
701,2003-11-10 13:54:06,-64.5,136.2,23.0,20.1,14.8,-8.7,10.4,518000000000.0,1.3,100176305.42784359,109103378.57034418,-9021.830334878845,478526.8861998457,-472939.99930218136,-7883.845296064528
706,2003-09-27 12:59:02,21.0,86.6,26.0,18.2,-1.0,-5.4,-17.3,2150000000000.0,4.6,150042264.4234485,9861918.887575332,-7105.193142527738,447133.7294899331,-512586.0913220458,-6823.04486328909
866,1998-01-04 23:00:27,-35.1,33.4,30.0,17.1,6.0,-10.6,12.0,74000000000.0,0.23,-37841460.97041279,142985356.86186385,30718.330850055172,-1191787.4159331582,522391.59212678846,29663.76604528866
