,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx,earthy,earthz,sunx,suny,sunz
173,2019-02-18 10:00:43,-15.5,25.3,26.0,20.8,-16.6,-12.6,0.6,1958000000000.0,4.2,-127152751.4456838,76841054.55211592,-10255.163690110538,-171020.39899173658,1124077.501308804,-7080.400010892836
174,2019-02-01 18:17:10,22.5,-83.8,23.7,16.3,-2.4,13.6,8.7,579000000000.0,1.4,-99425628.18671435,110093058.42714326,-12398.869334288407,-150923.3763396238,1120062.7076220703,-7599.129721509911
176,2019-01-22 09:18:01,18.0,6.5,42.5,11.6,-8.6,-5.9,5.0,36000000000.0,0.12,-77697361.2932358,126253908.54537109,-13525.30141777171,-138510.05132744426,1117355.1087534116,-7918.858343608979
177,2018-12-23 23:38:03,-47.5,-174.4,31.8,16.5,9.9,7.6,10.8,89000000000.0,0.27,-4812193.939321114,148172715.70098183,-15420.7378524381,-103785.47998178615,1108899.2957171146,-8808.20202562802
178,2018-12-18 23:48:20,56.9,172.4,26.0,13.6,6.3,-3.0,-31.2,31300000000000.0,49.0,8243500.663583324,148062074.64248592,-15240.991802604749,-97954.1925290259,1107358.0535136333,-8956.546152719762
179,2018-11-20 17:30:28,25.3,-6.7,27.4,17.4,-10.1,13.9,3.0,422000000000.0,1.1,78075928.8111668,126556654.86534834,-15297.110885350903,-65254.552556577204,1098122.3256913987,-9781.013269853811
180,2018-11-17 21:48:24,47.3,-172.9,32.5,19.1,7.6,17.3,-2.7,220000000000.0,0.61,84261768.26668447,122595861.28000717,-15293.606839402602,-62014.00592075953,1097154.2053978555,-9862.162377777131
185,2018-10-05 00:27:04,-39.8,-31.7,31.5,14.7,-13.2,-6.5,-0.4,38000000000.0,0.13,146628216.32545376,30828423.516188536,-13078.569119670447,-11992.917274923733,1080858.7597772912,-11112.90239575174
186,2018-09-25 14:10:33,-23.5,56.8,33.0,16.5,-16.2,2.8,0.6,806000000000.0,1.9,149910066.11304274,6850700.945192034,-11849.155906493825,-1344.3362456438654,1077026.8197196017,-11378.8982821999
187,2018-09-25 00:16:59,-34.3,44.9,40.7,12.5,-11.0,2.5,-5.5,53000000000.0,0.17,149984881.89568225,5367624.765870691,-11826.65051264444,-691.7615779503217,1076787.4183316743,-11395.192068491691
191,2018-08-27 04:36:45,-1.7,141.4,33.0,16.1,9.8,-9.6,-8.4,24000000000.0,0.086,135450299.62230182,-66089715.434260234,-9591.77103150744,31594.434064288664,1064248.972683578,-12198.72898334659
194,2018-07-25 21:55:26,76.9,-69.0,43.3,24.4,20.4,12.9,-3.8,877000000000.0,2.1,82041476.93224475,-126885055.99590805,-8110.468319853171,67208.02834801658,1048676.2713883338,-13081.974831544941
196,2018-06-26 17:51:53,32.0,12.1,63.0,14.1,-10.0,-1.0,-9.9,29000000000.0,0.1,12894565.449701026,-150494513.9316397,-7751.658607990021,98652.45496597637,1033151.4228507213,-13858.42974168
197,2018-06-21 01:16:20,52.8,38.1,27.2,14.4,-8.9,-4.3,-10.5,1224000000000.0,2.8,-1490473.0050455078,-150986478.4700404,-7863.629661962764,104684.48547700256,1029970.6335844283,-14006.341988917457
198,2018-06-02 16:44:12,-21.2,23.3,28.7,16.9,0.9,-16.4,3.9,375000000000.0,0.98,-47141102.78387278,-143153528.37967074,-8200.96882631025,123885.88076115686,1019412.424938451,-14473.434206946418
201,2018-05-03 07:23:59,46.9,-7.5,39.0,11.5,1.3,-2.1,-11.2,38000000000.0,0.13,-110897963.96840794,-101014757.89629054,-10747.180333174689,154848.3642369973,1001019.4224299742,-15218.379400700791
202,2018-04-30 13:17:57,-45.5,-1.4,34.0,13.1,8.7,-9.5,2.5,30000000000.0,0.1,-115449721.63345058,-95661082.57816511,-11112.598669994226,157603.5659560471,999299.1032613452,-15284.429368296389
203,2018-04-21 12:06:04,-59.0,45.8,28.2,14.6,7.1,-4.6,11.9,36000000000.0,0.12,-128576590.51664865,-76642682.36843891,-11485.338691651492,166597.16616399147,993587.5345861507,-15499.825152390917
204,2018-04-19 14:02:27,7.5,3.6,30.0,20.9,-9.1,-2.5,18.6,72000000000.0,0.23,-130977618.83043039,-72354376.645717,-11565.446342430128,168492.71322662322,992364.9261250079,-15545.18687679744
205,2018-04-19 13:39:38,-22.2,72.6,31.5,10.9,-5.9,-9.1,1.4,512000000000.0,1.3,-130996858.26333982,-72318633.42013998,-11566.387730876151,168508.34609923247,992354.8158113451,-15545.56093387714
207,2018-02-21 01:28:03,-13.5,-37.1,31.5,13.1,-0.9,13.1,-0.4,71000000000.0,0.22,-130544835.28005444,70149252.86510468,-18831.381318394862,223496.12274625248,953998.6853144215,-16857.22605915589
211,2018-02-01 12:21:36,-19.4,104.3,37.0,16.5,8.1,-8.4,-11.7,190000000000.0,0.53,-99047704.06897934,109898086.32553902,-21558.994922411854,241452.577884675,940202.5069937349,-17288.24548334673
213,2018-01-15 02:18:38,-52.0,57.2,43.6,23.7,18.6,-12.1,8.4,199000000000.0,0.56,-61066757.14906665,134699762.02146167,-23357.33494088739,257131.9488601697,927552.076865325,-17667.255662807645
214,2018-01-06 21:24:22,55.8,52.5,26.0,21.0,0.8,2.2,-20.9,28000000000.0,0.098,-40943300.564505115,142137697.4488642,-23873.04903628181,264404.0591577991,921476.3933958866,-17843.52378723612
219,2017-12-15 13:14:37,60.2,170.0,20.0,31.4,27.8,-4.7,-13.9,3114000000000.0,6.4,16923386.707441084,147205906.3105846,-24968.6473708169,283808.56293728773,904564.7303755918,-18313.028042941172
220,2017-11-19 04:17:32,-24.2,135.0,33.3,11.4,6.7,-3.4,8.6,28000000000.0,0.098,81307809.3100789,124573292.29704349,-24793.031534238205,305946.9867412938,883965.3877047393,-18843.798353641097
222,2017-10-23 15:31:23,28.8,44.6,35.4,16.7,-5.7,-10.7,-11.5,24000000000.0,0.086,128980892.5335672,75674264.3024476,-23440.08562854302,327347.8472377346,862584.6522891829,-19352.012353522707
223,2017-10-15 04:33:16,-65.2,128.2,24.1,15.9,9.5,-8.3,9.7,33000000000.0,0.11,138868028.23248017,56190306.29686155,-22450.040987164768,333978.0464771171,855645.1338571466,-19507.744698475675
225,2017-10-04 12:07:05,28.1,99.4,37.0,14.6,-8.5,-9.0,7.8,192000000000.0,0.54,147110643.7233626,29954748.732492894,-21339.436065545447,342222.5730403374,846800.689271706,-19699.83682788617
226,2017-09-05 05:11:27,49.3,-116.9,36.0,14.7,12.7,-6.1,-4.2,38000000000.0,0.13,144287397.65379527,-44277742.36232665,-18915.099107853635,364097.6250119109,822177.2552408125,-20198.899959611637
228,2017-07-23 06:12:38,-6.6,-69.7,38.0,17.2,-0.4,8.7,-14.8,35000000000.0,0.12,77206052.213841,-130361016.05268505,-15618.36036813204,395211.4724761393,784154.2769995747,-20896.491668020157
229,2017-07-13 09:30:36,23.1,60.7,35.0,13.7,-10.0,-6.5,-6.8,73000000000.0,0.23,54762624.582975775,-141245565.66918272,-15283.788345597863,401918.77560286527,775416.0251725947,-21046.708524929025
230,2017-06-30 14:26:45,-34.3,134.5,20.0,15.2,10.9,-9.7,4.2,94000000000.0,0.29,23545690.708006915,-149557403.29739964,-15369.633664708286,410462.3658339308,763955.352386397,-21237.903804153524
231,2017-06-23 20:21:55,57.0,143.7,35.1,24.3,17.7,13.1,-10.3,184000000000.0,0.52,6536335.185449448,-151176705.06716445,-14736.317873206042,414897.385786584,757848.7085763842,-21336.922433936903
232,2017-06-20 13:41:32,-54.2,133.0,33.3,13.6,8.7,-5.7,8.8,636000000000.0,1.6,-1762812.0559468109,-151256110.29088324,-14689.19628107784,417031.28294158215,754870.46728003,-21384.488209897925
233,2017-05-24 07:03:03,-9.1,101.8,46.0,18.4,-6.5,-16.5,-5.0,90000000000.0,0.28,-68176229.41041957,-134348296.78084144,-15489.573185265697,434302.9988263618,729707.8882396695,-21770.23071651286
236,2017-04-30 21:28:28,-25.7,56.2,32.4,21.5,-13.4,-14.2,8.9,150000000000.0,0.43,-114197033.45099148,-97140602.5225702,-17201.155595035187,448340.6972142817,707548.4677907921,-22086.189937548774
238,2017-03-09 04:16:37,40.5,-18.0,23.0,36.5,-15.3,25.8,-20.8,400000000000.0,1.0,-145098459.80390078,30142876.911855698,-22907.721684099233,476742.9975987001,656038.1213382086,-22714.885350260527
240,2017-02-25 01:22:59,29.5,13.5,25.4,12.2,-7.6,-9.3,2.2,65000000000.0,0.21,-135216059.98137328,59946849.92524263,-24537.255686498716,482614.38849308976,643996.0649481121,-22841.055329767652
242,2017-02-18 19:48:29,6.2,60.4,38.0,24.2,-6.6,-22.7,-5.3,295000000000.0,0.79,-127731766.54002616,74319329.23918064,-25514.88492945527,485539.6094145989,637785.0546118987,-22903.57609111039
245,2016-12-23 03:29:09,21.3,49.3,42.0,29.7,-22.4,16.4,-10.5,38000000000.0,0.13,-3340103.6901197187,147680269.4707743,-29263.67385837174,509784.9337956164,579982.3060849557,-23409.40337603535
248,2016-11-24 14:10:34,-15.2,80.3,30.6,17.4,9.1,-11.2,9.7,138000000000.0,0.4,68710803.37638524,131547428.75689605,-29105.504102874733,520168.1715266001,551251.989459921,-23620.18088879327
250,2016-10-01 20:23:45,36.2,6.7,27.8,14.2,-10.0,3.9,-9.3,31000000000.0,0.11,148492664.21945935,23538833.023574274,-25815.56368249464,537116.670433714,496541.7228084909,-23967.474704291777
251,2016-09-22 04:57:49,-51.8,178.5,40.0,17.5,-2.5,-3.3,17.0,71000000000.0,0.22,150673807.18584839,-1111481.5948301007,-24280.04344575501,539766.9472722095,486615.89578880684,-24019.60552459458
252,2016-09-14 15:01:51,-3.5,44.6,54.0,18.3,3.5,-16.2,7.7,76000000000.0,0.24,149525668.36924544,-20481660.803293996,-24138.459401856893,541763.9734738516,478790.1358399618,-24058.257051795383
254,2016-08-11 05:59:58,-43.7,53.8,34.3,14.9,-0.7,-11.4,9.6,184000000000.0,0.52,114579504.01969703,-99473029.85275811,-21452.416785233316,549790.8288538418,443037.9540835827,-24206.97359136466
