#clean data from CNOS fireballs catalog without nan values
#this data was download 2023-10-05
#addign earth and sun SSB positions, latitud and longitud float values, ecliptic and velocity positions. 

Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx (km),earthy (km),earthz (km),sunx (km),suny (km),sunz (km),earthvx (km/s),earthvy (km/s),earthvz (km/s),sunvx (km/s),sunvy (km/s),sunvz (km/s),x_ecliptic (km),y_ecliptic (km),z_ecliptic (km),vx_ecliptic (km/s),vy_ecliptic (km/s),vz_ecliptic (km/s)
2019-01-22 09:18:01,18.0,6.5,42.5,11.6,-8.6,-5.9,5.0,36000000000.0,0.12,-77697361.2932358,126253908.54537109,-13525.30141777171,-138510.05132744426,1117355.1087534116,-7918.858343608979,-25.81074854593374,-15.792631719615443,-3.1884518836428303e-06,-0.01380195837629325,0.0031055691977961903,0.0003551002759455305,-301.9378835934615,-4812.8318880781035,4236.040127974529,-4.855892630262392,10.679065464358429,0.829612115183676
2018-12-23 23:38:03,-47.5,-174.4,31.8,16.5,9.9,7.6,10.8,89000000000.0,0.27,-4812193.939321114,148172715.70098183,-15420.7378524381,-103785.47998178615,1108899.2957171146,-8808.20202562802,-30.260891161467626,-1.0576804010957315,-0.0007204946707092564,-0.013538794451043267,0.003539278068903902,0.0003448175235003887,162.49180969357977,-5848.096313978805,-2590.8174065340418,-7.30582971618365,13.763676347858745,5.818817984725256
2018-12-18 23:48:20,56.9,172.4,26.0,13.6,6.3,-3.0,-31.2,31300000000000.0,49.0,8243500.663583324,148062074.64248592,-15240.991802604749,-97954.1925290259,1107358.0535136333,-8956.546152719762,-30.23239415469308,1.5710163151179213,7.511569542067913e-05,-0.013496711151444213,0.003605985391836304,0.0003429353767798478,-795.9395881805663,-1004.8002687506141,6259.257988362351,3.3041059693168533,-6.880384642821037,-31.029773839342152
2018-11-20 17:30:28,25.3,-6.7,27.4,17.4,-10.1,13.9,3.0,422000000000.0,1.1,78075928.8111668,126556654.86534834,-15297.110885350903,-65254.552556577204,1098122.3256913987,-9781.013269853811,-25.778322875799706,15.630521438145237,-0.000321887791905405,-0.013302923952484672,0.00395433079730035,0.00033322419571843627,4123.031107760341,-2661.0658268022535,4111.029529362868,0.311195737026039,16.672823848219263,-3.9592810116220223
2018-11-17 21:48:24,47.3,-172.9,32.5,19.1,7.6,17.3,-2.7,220000000000.0,0.61,84261768.26668447,122595861.28000717,-15293.606839402602,-62014.00592075953,1097154.2053978555,-9862.162377777131,-24.972660325120938,16.8655928606783,0.0002611389045372279,-0.013289100850594955,0.00399020136995497,0.0003326982856937248,-3732.715551200711,-177.95585726229206,5194.617023921621,-0.15905181904436483,16.512306279737977,-10.10140356644227
2018-10-05 00:27:04,-39.8,-31.7,31.5,14.7,-13.2,-6.5,-0.4,38000000000.0,0.13,146628216.32545376,30828423.516188536,-13078.569119670447,-11992.917274923733,1080858.7597772912,-11112.90239575174,-6.412467563370849,29.096634429672417,-0.0020359819391914135,-0.013094577314895354,0.00462730281655219,0.0003271952333997025,4822.991814209106,-2536.555631898568,-3358.0324832023443,-10.234997098774311,-10.236456784688746,4.0223679502168075
2018-09-25 14:10:33,-23.5,56.8,33.0,16.5,-16.2,2.8,0.6,806000000000.0,1.9,149910066.11304274,6850700.945192034,-11849.155906493825,-1344.3362456438654,1077026.8197196017,-11378.8982821999,-1.6424692525383104,29.648099204642705,-0.0005111578179006017,-0.013049304724950911,0.004781861093976054,0.00032583190330064604,352.320395450605,-6398.065846540605,3.903689741268863,14.238933275939129,7.022477641848222,-2.4188835487475457
2018-09-25 00:16:59,-34.3,44.9,40.7,12.5,-11.0,2.5,-5.5,53000000000.0,0.17,149984881.89568225,5367624.765870691,-11826.65051264444,-691.7615779503217,1076787.4183316743,-11395.192068491691,-1.3493239506433414,29.657889205593136,-0.0003904734262182009,-0.013046371868482775,0.004791516601636902,0.0003257368413005528,3216.293997899209,2436.7120158713224,-4983.243164664522,-10.939337808419976,-1.4770617147601928,-5.332578354636377
2018-08-27 04:36:45,-1.7,141.4,33.0,16.1,9.8,-9.6,-8.4,24000000000.0,0.086,135450299.62230182,-66089715.434260234,-9591.77103150744,31594.434064288664,1064248.972683578,-12198.72898334659,12.733289792356835,26.569991633235578,-4.815665548361337e-06,-0.012883064120319558,0.005283077009030295,0.00031955059308476775,-6377.4944750269115,-649.757978153184,88.38541910747873,13.657386506147091,-2.9598958586554405,-7.899225462711891
2018-07-25 21:55:26,76.9,-69.0,43.3,24.4,20.4,12.9,-3.8,877000000000.0,2.1,82041476.93224475,-126885055.99590805,-8110.468319853171,67208.02834801658,1048676.2713883338,-13081.974831544941,24.57343413867562,15.962834977740055,0.0005253721648388335,-0.012634865423260951,0.005890272593009851,0.00031311664902447924,-1331.6230185998893,1954.2741182280622,5948.313351831094,13.593883830685487,-19.69985494776209,4.372335437005317
