index,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),vx,vy,vz,lat,lon,a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
129,2020-01-24 11:13:31,28.0N,35.8W,32.0,-18.6,-9.0,-4.7,28.0,-35.8,813924335.3170643,0.8257150334384306,0.15365576681735207,-0.3074158910156744,1.6140540667723897,3.069334097034494
130,2020-01-21 20:07:44,33.1N,34.3E,43.3,-7.5,-23.5,-11.9,33.1,34.3,252483864.19772395,0.7395728450939714,0.13394149332410277,-1.0172169138213738,5.010663500316335,0.8161438721502696
132,2020-01-16 09:31:42,71.7S,116.4W,27.8,9.8,-4.5,7.0,-71.7,-116.4,262258239.69259146,0.4475150183407928,0.08941081819058376,2.0217803332977167,0.09509857790620035,2.339423401052384
135,2019-12-21 14:30:52,56.5N,147.6W,35.5,14.9,-8.1,-14.3,56.5,-147.6,216198324.97381505,0.6053408278203143,0.16438833648706275,-1.5883857171655353,4.83313728288055,0.5136202099809779
136,2019-12-11 01:19:11,47.7N,161.7E,37.0,13.7,-10.9,-3.3,47.7,161.7,129965786.54587172,0.4237832182339379,0.23649975083893962,-1.7710375517133075,0.8803613928361171,4.548773514349587
139,2019-11-28 20:30:54,35.7N,31.7W,35.0,-11.6,-2.5,-5.4,35.7,-31.7,190738714.2299251,0.29744501855438055,0.010761988095219836,-1.9713552356411919,3.987861767659593,4.569115420595091
142,2019-11-05 11:24:51,10.4S,143.3W,38.0,5.2,12.3,23.9,-10.4,-143.3,309161265.37529826,0.5230783511288285,0.7354614365680411,0.7443565734497382,6.205530335433576,2.833516192269782
144,2019-10-10 16:16:36,44.3N,122.9E,47.3,1.5,-12.9,-5.4,44.3,122.9,200608797.4299662,0.35773317010446903,0.08289254459269473,-2.8469467774910826,4.1984334687729055,3.998409435872713
145,2019-09-28 10:40:20,12.5S,107.2W,52.0,-10.1,11.2,13.7,-12.5,-107.2,147698413.9112337,0.2098925353497373,0.5288646681242011,0.08425145836243211,4.411936055922071,1.7731436989673455
147,2019-09-14 12:39:34,38.6S,33.5W,38.0,-12.9,8.1,4.6,-38.6,-33.5,143429229.84069872,0.33596564450798877,0.1686701332150105,-0.1540532649470734,4.234319067885319,4.149975580354779
148,2019-09-13 02:02:04,18.6S,126.9E,27.4,5.2,-8.1,9.5,-18.6,126.9,160876088.72852546,0.1263979525113928,0.22409026555486083,-0.1775167606810389,5.170924439102697,2.763506384734823
149,2019-09-12 12:49:48,54.5N,9.2E,42.0,-18.1,-0.4,3.7,54.5,9.2,354854123.5305789,0.6422071630723556,0.12014210782617223,-0.14804205527655284,5.326740293959905,1.5102569705615405
150,2019-09-12 02:34:58,24.9N,47.8W,30.6,-11.7,11.7,4.6,24.9,-47.8,244337172.07952663,0.5148391106136867,0.09130422942710295,-0.19010109111284576,1.1722641657533543,4.343928630374893
151,2019-08-24 12:02:59,21.9N,130.4W,39.8,11.1,-5.2,5.4,21.9,-130.4,298814147.456188,0.5072128423172266,0.03506905611872346,-0.5094192592006928,0.4156073295540885,0.21166517247478733
153,2019-08-16 20:36:05,38.9N,7.0E,36.0,-3.9,4.0,-13.8,38.9,7.0,170167595.20365396,0.17077143690014765,0.29931861287332484,2.5048535052397005,2.1878018412521545,2.6285949202151198
154,2019-07-23 20:42:58,44.6N,147.6W,30.6,1.5,15.1,-5.5,44.6,-147.6,364648569.608534,0.6292453983345057,0.03365908493522512,2.119488159221662,2.4798715539311367,4.0177825583302695
155,2019-06-30 16:52:58,21.2N,129.5W,59.0,25.2,31.2,-13.3,21.2,-129.5,114988136.7828698,0.9904236730522716,2.7283123136296554,1.7104768337011718,0.09966388016954486,5.845322795971725
159,2019-05-26 10:07:55,56.6N,25.3W,24.4,3.8,-5.8,16.1,56.6,-25.3,304375942.19001573,0.5770900910576359,0.11613742226283437,1.1350146347446062,4.054153696858457,4.984788546727381
160,2019-05-25 06:44:04,19.2S,89.4E,29.2,0.2,-15.7,2.1,-19.2,89.4,192069449.39175332,0.3762958570449374,0.17114644764779782,-2.031269595347148,4.972677157509815,3.3104901711561543
162,2019-05-21 13:21:35,38.8S,137.5E,31.5,4.4,-8.5,6.4,-38.8,137.5,176133133.6199583,0.15192507378198333,0.04369319781330547,-2.0847206999473338,0.4204160538501336,4.502691398572802
163,2019-05-19 14:47:03,23.6S,132.8E,33.3,7.3,-12.2,5.3,-23.6,132.8,225675603.9540727,0.41829021877176403,0.028826776061108467,-2.1277992348395802,1.0022213374626796,2.7439902775990745
166,2019-04-22 21:42:11,48.8S,67.8E,33.3,3.4,-4.2,10.0,-48.8,67.8,141163914.89329442,0.07053811465056785,0.032381242185387286,-2.505874912335593,3.450571222560474,5.136152805283895
167,2019-04-14 17:54:33,18.3N,74.6W,30.6,-2.5,5.9,-14.6,18.3,-74.6,280854942.4659601,0.4836101601656603,0.26290972956225866,0.4274497868012017,2.704093937077497,3.2043374276760157
168,2019-04-06 11:59:09,56.5N,94.9E,41.5,6.2,11.1,-12.9,56.5,94.9,124857505.43422931,0.22981096963022762,0.47460044741345836,0.2809651927948035,5.832123656829911,1.0692585316623715
171,2019-03-19 02:06:39,24.0S,140.3E,28.7,10.2,0.4,12.6,-24.0,140.3,182213948.39573994,0.24734121361490727,0.32772518248816274,3.1074749438153635,5.335516165114303,1.6572212141015399
172,2019-03-15 12:26:56,63.7N,95.7E,31.5,5.4,-13.2,1.7,63.7,95.7,260906867.21762237,0.4350977585607253,0.18012868015020708,3.1198068583873217,0.1773113923019638,5.369567987552119
173,2019-02-18 10:00:43,15.5S,25.3E,26.0,-16.6,-12.6,0.6,-15.5,25.3,305953326.7826597,0.6530867147818293,0.0860570282211457,-0.5266397143571844,1.8299462664216417,1.0660301796536356
174,2019-02-01 18:17:10,22.5N,83.8W,23.7,-2.4,13.6,8.7,22.5,-83.8,177345691.7190439,0.3738578801688229,0.16985369979089274,2.3095469607481074,4.854121544399509,5.543678538676568
